Hotel_ID,city,country,temperature,latitud,longitude,Hotel Name
4,Pouembout,NC,78.06,-21.1333,164.9,Camping de Tipenga
7,Mahébourg,MU,75.25,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
8,Zacatepec,MX,77.43,18.65,-99.2,Villas El Paraíso
10,Coro,VE,79.88,11.4045,-69.6734,Federal
11,Mahibadhoo,MV,81.72,3.7833,72.9667,Omadhoo Inn
12,Acapulco de Juárez,MX,80.42,16.8634,-99.8901,HS Hotsson Smart Acapulco
13,Saint-Philippe,RE,76.59,-21.3585,55.7679,Le four à pain
14,Avarua,CK,75.25,-21.2078,-159.775,Paradise Inn
15,Kapaa,US,82.38,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
38,Faanui,PF,78.35,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
39,Bubaque,GW,81.3,11.2833,-15.8333,"Casa Dora, Bubaque"
40,Padang,ID,80.65,-0.9492,100.3543,Mercure Padang
41,Porto-Novo,BJ,75.04,6.4965,2.6036,Tour Eiffel Hotel Benin
43,Hambantota,LK,84.29,6.1241,81.1185,Bungalow 63
46,Alofi,NU,80.49,-19.0595,-169.9187,Taloa Heights
48,Lorengau,PG,85.44,-2.0226,147.2712,Lorengau Harbourside Hotel
50,Atuona,PF,76.8,-9.8,-139.0333,Villa Enata
64,Huazhou,CN,86.99,21.6333,110.5833,Feilong Hotel
72,Kavieng,PG,84.87,-2.5744,150.7967,Nusa Island Retreat
73,Jega,NG,78.69,12.2175,4.3792,ALH. Nasiru Ibrahim
75,Najrān,SA,75.85,17.4924,44.1277,محمد هادي ال فطيح
78,Lucea,JM,78.85,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
80,Butaritari,KI,82.2,3.0707,172.7902,Isles Sunset Lodge
82,Hilo,US,80.33,19.7297,-155.09,Hilo Hawaiian Hotel
83,Kalmunai,LK,85.73,7.4167,81.8167,VS Villa
85,Karratha,AU,80.35,-20.7377,116.8463,ibis Styles Karratha
92,Port Hedland,AU,84.25,-20.3167,118.5667,The Esplanade Hotel
95,Champerico,GT,80.76,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
101,Saint George,US,78.26,37.1041,-113.5841,Best Western Plus Abbey Inn
102,Tezu,IN,78.04,27.9167,96.1667,Circuit House
106,Bathsheba,BB,81.21,13.2167,-59.5167,Atlantis Hotel
108,Champasak,LA,86.88,14.75,106.0,Kiat Ngong Wetland BUNGALOW
115,Icod de los Vinos,ES,78.55,28.3724,-16.7119,Hotel El Patio
117,Tura,IN,78.31,25.5198,90.2201,Hotel RIKMAN Continental
129,Xiaoweizhai,CN,83.37,26.1903,107.5125,Karst Youth Hostel
132,Gushikawa,JP,86.0,26.3544,127.8686,Kirari Guest House
134,Stann Creek Town,BZ,79.84,16.9692,-88.2321,Chaleanor Hotel
135,Hithadhoo,MV,82.53,-0.6,73.0833,Scoop Guest House
137,Cabo San Lucas,MX,79.61,22.8909,-109.9124,Hotel Tesoro Los Cabos
140,Independência,BR,75.54,-5.3964,-40.3086,Pousada Santa Cruz
141,Manokwari,ID,84.51,-0.8667,134.0833,Swiss Belhotel Manokwari
145,Bac Lieu,VN,82.87,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
146,Bambous Virieux,MU,75.22,-20.3428,57.7575,Casa Tia Villa
150,Roebourne,AU,81.97,-20.7833,117.1333,Latitude20 Roebourne Village
152,Gigmoto,PH,85.01,13.7796,124.39,Cj's Travellers Inn
156,Sabang,ID,78.37,5.8933,95.3214,Hotel Citra
157,Tirumullaivāsal,IN,86.45,11.2333,79.8333,Crematorium
163,Yeppoon,AU,76.78,-23.1333,150.7333,Villa Mar Colina
174,Salalah,OM,78.89,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
178,Biltine,TD,81.61,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
180,Port-Gentil,GA,76.91,-0.7193,8.7815,Fengshui Residence
181,Jizan,SA,83.34,17.3333,42.6667,شهدان. ابوالحجر
189,George Town,MY,84.88,5.4112,100.3354,Cititel Penang
192,Finschhafen,PG,85.8,-6.6024,147.8681,Oasis Gagidu Ltd
193,Longyan,CN,87.42,25.1072,117.0225,Jinjiang Inn Longyan Zhongshan Road Pedestrian Street
200,Tipitapa,NI,78.82,12.1973,-86.0971,Hotel Entre Rios
201,Doha,QA,85.98,25.2867,51.5333,Mövenpick Doha
202,Hobyo,SO,78.15,5.3505,48.5268,Halane Hotel and Restaurent
207,São Filipe,CV,78.06,14.8961,-24.4956,Hotel Xaguate
213,San José de Río Tinto,HN,80.17,14.9333,-85.7,PARQUE ECOTURISTICO QUILIZ
217,Puerto Escondido,MX,79.21,15.85,-97.0667,Aldea del Bazar Hotel and Spa
220,Kahului,US,78.82,20.8947,-156.47,Maui Seaside Hotel
227,Marawi,PH,80.74,7.9986,124.2928,Derogongan Residence
232,Rondonópolis,BR,77.11,-16.4708,-54.6356,Serras Hotel
235,Carutapera,BR,76.44,-1.195,-46.02,Lidera
238,Puerto Suárez,BO,79.25,-18.95,-57.8,Hotel casa real
247,Tevaitoa,PF,77.92,-16.7833,-151.5,Hôtel Raiatea Lodge
248,Tarakan,ID,83.7,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
253,San Patricio,US,75.85,28.017,-97.5169,"Motel 6 Sinton, TX"
257,Mayumba,GA,75.09,-3.432,10.6554,LIKWALE LODGE
258,Blythe,US,86.45,33.6103,-114.5964,Rodeway Inn & Suites
260,Yaring,TH,86.63,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
265,Kiryat Gat,IL,75.4,31.61,34.7642,OlusHome
268,Jaru,BR,75.2,-10.4389,-62.4664,Hotel Paraná
274,Isangel,VU,76.51,-19.55,169.2667,Tanna Lodge
278,Gorontalo,ID,86.07,0.5412,123.0595,Maqna Hotel by Prasanthi
281,Tra Vinh,VN,86.2,9.9347,106.3453,Hồng Ân
285,San Juan del Sur,NI,78.85,11.2529,-85.8705,Nuestra Casa
289,Marabu,MY,84.34,4.4148,114.0089,"Mega Hotel, Miri"
290,Sinnamary,GF,77.58,5.3833,-52.95,ALETHEIA Appartement Sinnamary
292,Micheweni,TZ,75.15,-4.9667,39.8333,
295,Grand Gaube,MU,75.38,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
