City_ID,latitud,longitude,temperature,humidity,cloudiness,wind_speed,country,description,city
0,39.3558,-9.3811,59.11,94,0,8.9,PT,clear sky,Peniche
1,-32.035,-52.0986,58.01,91,0,8.52,BR,clear sky,Rio Grande
2,42.6001,-73.9662,52.39,82,100,4.34,US,overcast clouds,Albany
3,-23.1203,-134.9692,70.29,62,89,23.69,PF,overcast clouds,Rikitea
4,-21.1333,164.9,78.06,50,3,10.56,NC,clear sky,Pouembout
5,42.097,-79.2353,49.64,70,0,10.36,US,clear sky,Jamestown
6,-33.5906,26.891,60.53,85,0,8.7,ZA,clear sky,Port Alfred
7,-20.4081,57.7,75.25,68,40,11.5,MU,scattered clouds,Mahébourg
8,18.65,-99.2,77.43,80,12,1.32,MX,few clouds,Zacatepec
9,-17.2222,-46.8747,67.05,90,99,2.86,BR,overcast clouds,Paracatu
10,11.4045,-69.6734,79.88,86,16,9.91,VE,few clouds,Coro
11,3.7833,72.9667,81.72,77,100,16.31,MV,overcast clouds,Mahibadhoo
12,16.8634,-99.8901,80.42,83,0,3.44,MX,clear sky,Acapulco de Juárez
13,-21.3585,55.7679,76.59,72,40,11.32,RE,scattered clouds,Saint-Philippe
14,-21.2078,-159.775,75.25,73,20,18.41,CK,few clouds,Avarua
15,22.0752,-159.319,82.38,74,40,13.8,US,scattered clouds,Kapaa
16,26.7693,31.5021,73.26,44,0,6.38,EG,clear sky,Ţahţā
17,-53.15,-70.9167,42.91,81,75,17.27,CL,broken clouds,Punta Arenas
18,68.7098,-52.8699,21.02,83,18,6.15,GL,few clouds,Aasiaat
19,47.5999,-53.2648,49.33,82,0,11.74,CA,clear sky,Bay Roberts
20,48.9329,-125.5528,59.09,88,99,6.82,CA,overcast clouds,Ucluelet
21,77.484,-69.3632,16.5,81,100,5.44,GL,overcast clouds,Qaanaaq
22,-42.8794,147.3294,55.26,63,75,11.5,AU,broken clouds,Hobart
23,-10.0681,-78.1522,60.6,85,36,9.37,PE,scattered clouds,Huarmey
24,42.9744,140.5089,47.61,86,99,6.08,JP,overcast clouds,Iwanai
25,-33.918,25.5701,59.31,86,75,6.91,ZA,broken clouds,Port Elizabeth
26,59.7035,30.7861,45.81,96,82,3.67,RU,broken clouds,Nikolskoye
27,-46.6,168.3333,39.79,63,96,29.84,NZ,overcast clouds,Bluff
28,-33.65,115.3333,57.49,61,75,18.81,AU,broken clouds,Busselton
29,-0.7393,-90.3518,66.54,93,31,7.0,EC,scattered clouds,Puerto Ayora
30,67.45,153.6833,26.87,55,41,18.79,RU,scattered clouds,Srednekolymsk
31,-54.8,-68.3,42.46,81,0,6.91,AR,clear sky,Ushuaia
32,-34.4187,19.2345,44.8,78,52,5.28,ZA,broken clouds,Hermanus
33,-38.2667,141.9667,53.37,96,100,16.15,AU,light rain,Codrington
34,-5.0892,-81.1144,61.77,84,84,12.95,PE,broken clouds,Paita
35,-46.1927,168.8643,40.48,95,99,12.12,NZ,light rain,Mataura
36,-33.6971,-53.4616,52.56,92,0,4.38,UY,clear sky,Chui
37,-42.7167,170.9667,47.57,58,75,28.74,NZ,broken clouds,Hokitika
38,-16.4833,-151.75,78.35,71,14,25.21,PF,few clouds,Faanui
39,11.2833,-15.8333,81.3,79,65,8.93,GW,broken clouds,Bubaque
40,-0.9492,100.3543,80.65,84,100,7.07,ID,overcast clouds,Padang
41,6.4965,2.6036,75.04,94,46,3.49,BJ,scattered clouds,Porto-Novo
42,69.2167,-51.1,30.22,55,18,2.3,GL,few clouds,Ilulissat
43,6.1241,81.1185,84.29,67,99,20.4,LK,overcast clouds,Hambantota
